Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
2336,Azevedo - ME Ltda,Ltda. Fugiat,82.093.517/0001-37,6201-5/01 (Desenvolvimento de software),"Quadra Francisco Barros, 45",Souza do Galho,DF,Brasil,freitasgustavo-henrique@lopes.com,21 6405-9454,Inativa
2337,Melo Alves S.A. Ltda,- EI Vitae,28.637.195/0001-02,2063-1/00 (Fabricação de cosméticos),"Residencial Ferreira, 21",Caldeira,GO,Brasil,zcardoso@alves.com,(041) 0225 2393,Ativa
2338,Vieira Ltda. Ltda,e Filhos Animi,17.602.395/0001-03,4930-2/01 (Transporte de cargas),"Ladeira Barros, 907",Caldeira Paulista,CE,Brasil,carolinaviana@da.com,+55 51 2016 6344,Ativa
2339,Nogueira Ltda,Ltda. Velit,92.148.576/0001-19,3511-5/00 (Geração de energia solar),"Área Ana Laura Gonçalves, 11",da Paz do Galho,MA,Brasil,theo83@alves.net,+55 84 9393 1889,Inativa
2340,Pires Campos - EI Ltda,- EI Ex,52.078.431/0001-74,6201-5/01 (Desenvolvimento de software),"Via Rezende, 7",Araújo,RS,Brasil,rrodrigues@da.com,+55 11 7358 4759,Inativa
2341,Cardoso Ltda,S/A Alias,95.478.360/0001-00,6201-5/01 (Desenvolvimento de software),"Chácara Cunha, 2",Costa,PA,Brasil,pietro80@costa.br,+55 (041) 3230 8585,Inativa
2342,Teixeira S.A. Ltda,- EI Harum,20.851.367/0001-26,6201-5/01 (Desenvolvimento de software),"Travessa da Costa, 2",Nogueira Verde,PI,Brasil,luiz-fernandooliveira@da.com,+55 (051) 4561 0157,Ativa
2343,Almeida Fernandes S/A Ltda,e Filhos Aspernatur,06.783.594/0001-30,6201-5/01 (Desenvolvimento de software),"Colônia Martins, 84",Cardoso,RR,Brasil,alexia12@ribeiro.com,(084) 9022 4463,Ativa
2344,Lima Melo Ltda. Ltda,Ltda. Quam,84.602.319/0001-87,4930-2/01 (Transporte de cargas),"Trecho de Rodrigues, 51",Nogueira do Amparo,SP,Brasil,qmelo@santos.br,(041) 2347 6787,Inativa
2345,Nascimento S/A Ltda,- ME Nihil,30.791.265/0001-16,2063-1/00 (Fabricação de cosméticos),"Conjunto Isabel Monteiro, 87",Fernandes,DF,Brasil,isisribeiro@oliveira.br,(084) 1334-3811,Inativa
2346,da Paz da Cruz - ME Ltda,S.A. Ea,89.651.342/0001-85,6201-5/01 (Desenvolvimento de software),"Chácara Mendes, 3",Azevedo,AP,Brasil,limamaysa@caldeira.br,+55 51 5399 6362,Inativa
2347,Cavalcanti - ME Ltda,S.A. Vero,14.863.725/0001-18,4671-6/00 (Com. atac. insumos agrícolas),"Favela Moraes, 1",Freitas Alegre,RS,Brasil,silvamaria-clara@santos.net,(031) 9512 8601,Inativa
2348,Dias Ltda,- EI Distinctio,63.258.749/0001-53,3511-5/00 (Geração de energia solar),"Fazenda Duarte, 914",da Rosa da Mata,SP,Brasil,cda-rocha@duarte.com,71 6412 5656,Ativa
2349,Martins - EI Ltda,- EI Ab,02.487.563/0001-81,1091-1/02 (Fabricação de alimentos),"Condomínio Cardoso, 62",Silva da Mata,MA,Brasil,kaiquealves@da.br,+55 (081) 4130-9813,Ativa
2350,Silva da Luz - EI Ltda,S/A Inventore,94.105.826/0001-69,6201-5/01 (Desenvolvimento de software),"Estação Moraes, 175",da Conceição Verde,PE,Brasil,dda-costa@ramos.com,31 1854 1208,Inativa
2351,Oliveira - ME Ltda,Ltda. Earum,75.329.084/0001-00,4671-6/00 (Com. atac. insumos agrícolas),"Feira Correia, 74",Barbosa das Pedras,RO,Brasil,vianaemanuelly@duarte.br,+55 51 4440 3487,Ativa
2352,Fernandes Ltda,S/A Reiciendis,95.620.348/0001-98,6619-3/02 (Serviços financeiros),"Jardim da Rosa, 38",Novaes de Goiás,TO,Brasil,luiz-henriqueda-luz@teixeira.net,(071) 7210 8749,Ativa
2353,Melo Ltda,S.A. Alias,54.679.082/0001-71,8020-0/01 (Monitoramento de segurança),Distrito Benício Mendes,Caldeira,AM,Brasil,gabrielnunes@da.br,71 5787-9234,Ativa
2354,Lopes da Costa Ltda. Ltda,e Filhos Iusto,15.784.623/0001-70,8599-6/04 (Treinamento profissional),"Avenida Luiz Gustavo Silveira, 46",Nascimento do Galho,SC,Brasil,alexandre91@moura.com,+55 41 3061 0957,Inativa
2355,Gomes Ltda. Ltda,S/A Fuga,06.314.978/0001-04,3511-5/00 (Geração de energia solar),"Condomínio de Rocha, 40",Monteiro de Minas,ES,Brasil,maria-juliacardoso@dias.br,31 5198-7442,Ativa
2356,Carvalho Moraes S.A. Ltda,S.A. Impedit,75.369.840/0001-25,4671-6/00 (Com. atac. insumos agrícolas),"Chácara de Carvalho, 18",Moraes,DF,Brasil,joaquimjesus@ramos.br,(021) 9278 6832,Ativa
2357,Fogaça Ltda,S.A. Consectetur,21.608.549/0001-33,4671-6/00 (Com. atac. insumos agrícolas),"Área Fernandes, 605",Melo Grande,AP,Brasil,agatha57@ferreira.com,0300 983 6813,Ativa
2358,da Paz Ltda,e Filhos Qui,34.216.908/0001-59,6619-3/02 (Serviços financeiros),"Morro Peixoto, 4",Duarte das Pedras,MG,Brasil,mirellacardoso@pires.net,+55 (051) 5678-9624,Ativa
2359,Martins - EI Ltda,e Filhos Ad,48.279.510/0001-76,8599-6/04 (Treinamento profissional),"Quadra Rocha, 477",Pereira,MT,Brasil,danilonogueira@souza.br,41 5879-8650,Inativa
2360,Barbosa Ltda,- EI Labore,62.359.817/0001-08,8020-0/01 (Monitoramento de segurança),"Pátio de Fernandes, 432",da Conceição da Prata,PI,Brasil,barbosapietra@da.org,+55 51 8126 8296,Inativa
2361,Nogueira Ltda,S.A. Pariatur,04.529.761/0001-96,4930-2/01 (Transporte de cargas),"Vila Carolina Rocha, 636",Aragão,TO,Brasil,asantos@peixoto.com,(021) 4761 4043,Ativa
2362,Mendes Ltda,- ME Voluptate,01.924.368/0001-09,6201-5/01 (Desenvolvimento de software),"Condomínio Moura, 5",Cardoso,GO,Brasil,mlopes@farias.net,(081) 1154-2567,Inativa
2363,Souza Ltda,S.A. Cum,14.368.075/0001-34,4671-6/00 (Com. atac. insumos agrícolas),"Pátio Jesus, 70",Costa do Sul,PA,Brasil,da-rochanathan@cavalcanti.com,31 0533 0705,Ativa
2364,Silveira Ltda,- ME Modi,54.906.327/0001-56,7020-4/00 (Consultoria empresarial),"Conjunto de Costa, 36",da Paz do Amparo,RJ,Brasil,ian28@correia.org,+55 41 7706-7074,Inativa
2365,Monteiro e Filhos Ltda,S/A Vero,23.719.840/0001-04,2063-1/00 (Fabricação de cosméticos),"Lagoa de Nascimento, 76",da Cruz,ES,Brasil,wdias@aragao.br,+55 61 6030 3479,Ativa
2366,Castro Aragão S.A. Ltda,- ME Dicta,29.406.715/0001-20,8599-6/04 (Treinamento profissional),"Ladeira da Conceição, 383",Santos,BA,Brasil,gda-conceicao@oliveira.br,84 6165-4881,Ativa
2367,Moreira Ltda,S/A Cupiditate,68.493.025/0001-08,4671-6/00 (Com. atac. insumos agrícolas),"Morro Maria Cecília Oliveira, 43",Ribeiro do Sul,PB,Brasil,eduardo72@martins.com,+55 21 9652-4164,Ativa
2368,Novaes Ltda,e Filhos Dicta,14.805.372/0001-08,4930-2/01 (Transporte de cargas),"Conjunto Rezende, 47",Fernandes do Campo,AM,Brasil,daniela33@da.com,+55 (084) 7896 5761,Inativa
2369,Rezende Ltda,- ME Ad,45.093.721/0001-21,4930-2/01 (Transporte de cargas),"Avenida Evelyn Melo, 72",da Paz,CE,Brasil,hda-mota@caldeira.br,+55 (071) 7340 0091,Inativa
2370,Melo Ltda,e Filhos Dolor,23.976.845/0001-12,8020-0/01 (Monitoramento de segurança),Trevo da Rosa,da Costa,SE,Brasil,nogueiramiguel@porto.net,+55 31 6095-9110,Ativa
2371,Monteiro Silva - EI Ltda,- ME Voluptatibus,47.568.203/0001-42,6619-3/02 (Serviços financeiros),"Ladeira Porto, 85",Gonçalves do Sul,DF,Brasil,clararamos@cavalcanti.br,(084) 2204 2014,Ativa
2372,Pinto - EI Ltda,- ME Quibusdam,48.129.360/0001-14,6619-3/02 (Serviços financeiros),"Residencial Stella Freitas, 572",Farias dos Dourados,SE,Brasil,kda-luz@carvalho.net,21 9088 8070,Inativa
2373,Mendes Ltda,e Filhos Iure,94.532.867/0001-31,7020-4/00 (Consultoria empresarial),Vila de Alves,das Neves das Pedras,PE,Brasil,ncarvalho@pereira.com,(041) 0178 0707,Inativa
2374,Alves Oliveira Ltda. Ltda,S/A Iusto,12.387.609/0001-44,8020-0/01 (Monitoramento de segurança),"Largo Noah Freitas, 180",Gonçalves,PR,Brasil,bianca46@martins.com,+55 11 1619-3338,Ativa
2375,Viana Ltda. Ltda,- ME Tenetur,68.215.937/0001-18,6201-5/01 (Desenvolvimento de software),"Travessa de Castro, 58",Porto,MT,Brasil,matheusnovaes@jesus.com,+55 (071) 1382-5659,Inativa
2376,da Conceição Ltda,- EI Ab,70.514.392/0001-92,4930-2/01 (Transporte de cargas),"Favela Pereira, 71",Nascimento de Nunes,DF,Brasil,daniel26@fernandes.br,(061) 5569-1339,Inativa
2377,Rezende Ltda,S.A. Recusandae,50.239.487/0001-38,2063-1/00 (Fabricação de cosméticos),"Vereda Pires, 7",Mendes do Norte,AP,Brasil,cavalcantidaniela@fernandes.com,+55 81 5564-3764,Inativa
2378,Duarte - EI Ltda,S/A Porro,67.142.085/0001-13,1091-1/02 (Fabricação de alimentos),"Trecho Beatriz Novaes, 46",Ferreira,ES,Brasil,rcarvalho@silva.org,+55 11 5971 4958,Ativa
2379,Araújo Ltda. Ltda,- EI Omnis,56.031.897/0001-75,4671-6/00 (Com. atac. insumos agrícolas),"Feira Moreira, 85",da Luz,AM,Brasil,leticiasouza@castro.org,+55 (041) 9610-1622,Inativa
2380,Castro S/A Ltda,Ltda. Veniam,27.106.593/0001-21,6619-3/02 (Serviços financeiros),"Viaduto Carolina Aragão, 359",Araújo das Flores,AC,Brasil,miguel43@pereira.org,0900 290 2833,Ativa
2381,Rezende S.A. Ltda,- EI Voluptas,05.439.768/0001-80,1091-1/02 (Fabricação de alimentos),"Vereda de Araújo, 830",Cavalcanti,AP,Brasil,nunesbruno@nogueira.br,+55 61 6867-1732,Inativa
2382,Nascimento Rezende S/A Ltda,Ltda. Excepturi,18.057.624/0001-00,8599-6/04 (Treinamento profissional),"Trevo Anthony Peixoto, 40",Rezende da Prata,DF,Brasil,rochaotavio@novaes.com,(084) 0717-5907,Inativa
2383,Azevedo Ltda,Ltda. Nostrum,06.581.273/0001-53,3511-5/00 (Geração de energia solar),"Lagoa da Mota, 43",Moura,ES,Brasil,theoalmeida@ramos.com,+55 (051) 3511-7882,Inativa
2384,Pereira - ME Ltda,S.A. Cumque,12.037.486/0001-11,4930-2/01 (Transporte de cargas),"Jardim Castro, 31",Vieira do Oeste,AM,Brasil,onogueira@gomes.br,(031) 7822 0732,Inativa
2385,Barbosa - EI Ltda,- ME Cupiditate,98.574.613/0001-37,1091-1/02 (Fabricação de alimentos),"Loteamento de Sales, 190",Barros de Peixoto,RO,Brasil,eloah36@freitas.br,+55 (031) 3903-8794,Ativa
2386,Rodrigues e Filhos Ltda,S/A Suscipit,54.721.098/0001-03,4671-6/00 (Com. atac. insumos agrícolas),"Distrito Maria Luiza Moura, 34",da Cruz de Freitas,AP,Brasil,danilopinto@monteiro.com,21 5963-2687,Inativa
2387,Cunha Ltda,- ME Atque,64.928.753/0001-44,3511-5/00 (Geração de energia solar),Jardim Laís Lima,Porto,AC,Brasil,costastephany@viana.org,(031) 1156-2651,Ativa
2388,Pereira Costela - ME Ltda,e Filhos Vel,46.823.095/0001-44,4671-6/00 (Com. atac. insumos agrícolas),"Viela Nogueira, 17",Barbosa do Campo,AP,Brasil,maria-juliasantos@das.br,(041) 7895-4680,Ativa
2389,Aragão Barbosa Ltda. Ltda,S/A Placeat,47.816.590/0001-99,4930-2/01 (Transporte de cargas),"Passarela Pedro Henrique Lima, 729",Mendes Alegre,RJ,Brasil,mendescarolina@farias.br,+55 (081) 3020-9303,Ativa
2390,Azevedo e Filhos Ltda,e Filhos Omnis,09.462.318/0001-69,1091-1/02 (Fabricação de alimentos),Setor de da Cruz,Alves,PB,Brasil,aliciamoreira@gomes.com,+55 (011) 5446 2331,Ativa
2391,Peixoto Ltda,S/A Harum,50.427.968/0001-77,4930-2/01 (Transporte de cargas),"Setor de Barros, 87",da Conceição dos Dourados,TO,Brasil,pcosta@novaes.br,+55 41 8274-8845,Inativa
2392,Sales Ltda. Ltda,- ME Occaecati,83.674.012/0001-29,8599-6/04 (Treinamento profissional),"Ladeira de Gonçalves, 7",Monteiro,RJ,Brasil,joao-vitor69@melo.br,(081) 0563 8676,Inativa
2393,Pereira e Filhos Ltda,e Filhos Molestiae,17.352.408/0001-25,6619-3/02 (Serviços financeiros),Praça Ribeiro,Santos,RS,Brasil,xrocha@da.com,61 1255-8578,Inativa
2394,Martins S.A. Ltda,- ME Tempore,93.621.574/0001-68,4930-2/01 (Transporte de cargas),"Conjunto Moraes, 413",Teixeira de Goiás,AP,Brasil,fogacagabrielly@pinto.com,+55 31 5000 3465,Ativa
2395,Dias S.A. Ltda,S.A. At,72.098.341/0001-52,8020-0/01 (Monitoramento de segurança),"Sítio de das Neves, 16",Oliveira,AM,Brasil,martinscalebe@da.br,+55 21 1622-7467,Inativa
2396,Porto Ltda,e Filhos Voluptatem,20.148.693/0001-71,2063-1/00 (Fabricação de cosméticos),"Rua Breno Cardoso, 60",Duarte Verde,MS,Brasil,rodriguesmaria@dias.org,+55 (011) 5311 2870,Ativa
2397,Novaes Oliveira S.A. Ltda,Ltda. Corporis,57.019.384/0001-01,7020-4/00 (Consultoria empresarial),"Lago Cardoso, 24",Castro,RR,Brasil,pereiracarlos-eduardo@rezende.br,+55 21 3905-4199,Ativa
2398,Aragão Ltda,S/A Labore,02.395.486/0001-30,6619-3/02 (Serviços financeiros),"Praça Rafaela Silva, 4",Silva,SC,Brasil,da-rochathiago@fernandes.com,(021) 0227-1481,Inativa
2399,Santos Costela Ltda. Ltda,Ltda. Libero,13.420.976/0001-65,3511-5/00 (Geração de energia solar),"Estação de Martins, 93",Azevedo,AC,Brasil,da-motapietra@da.net,+55 61 1985 4301,Ativa
2400,Caldeira S/A Ltda,S/A Nulla,10.683.245/0001-14,4930-2/01 (Transporte de cargas),"Favela Melo, 44",Castro dos Dourados,PE,Brasil,pmendes@monteiro.br,+55 51 4431 5190,Inativa
2401,Freitas S/A Ltda,Ltda. Animi,43.567.918/0001-20,8599-6/04 (Treinamento profissional),Distrito da Cunha,Fernandes Grande,MT,Brasil,luana40@da.br,+55 71 2661-1477,Ativa
2402,da Costa S/A Ltda,S/A Hic,58.910.326/0001-36,8020-0/01 (Monitoramento de segurança),"Jardim de da Conceição, 24",Azevedo da Serra,PI,Brasil,vitor-hugo58@da.com,51 2984 7161,Ativa
2403,Oliveira Ltda,S.A. Voluptatibus,70.596.234/0001-29,6201-5/01 (Desenvolvimento de software),"Alameda Gustavo Monteiro, 55",Jesus,AL,Brasil,zsales@ribeiro.br,21 0471 1645,Inativa
2404,Costa Ltda,- ME Nisi,03.812.657/0001-41,4930-2/01 (Transporte de cargas),"Trevo da Conceição, 8",Cavalcanti de Correia,PI,Brasil,iandias@da.br,41 7875-2067,Inativa
2405,Barros Ltda,S.A. Nesciunt,75.061.243/0001-39,4930-2/01 (Transporte de cargas),"Jardim Carvalho, 942",Dias da Praia,TO,Brasil,alexandreda-rocha@campos.org,(081) 6935-9540,Inativa
2406,Pereira Ltda,S.A. Vero,25.498.071/0001-97,6201-5/01 (Desenvolvimento de software),"Estação Lavínia da Luz, 28",Freitas,BA,Brasil,fmoura@aragao.com,+55 (061) 3677 3054,Inativa
2407,Lopes Ltda,S.A. Qui,25.913.874/0001-60,2063-1/00 (Fabricação de cosméticos),Avenida de Nogueira,da Mata,DF,Brasil,luizamoraes@barros.com,+55 31 3835 7551,Ativa
2408,Moreira Cardoso S.A. Ltda,Ltda. Deleniti,06.978.152/0001-40,4671-6/00 (Com. atac. insumos agrícolas),"Favela Monteiro, 3",Fogaça,ES,Brasil,leonardo75@fernandes.br,+55 71 7626 9304,Ativa
2409,da Cruz Ltda,- ME Beatae,97.532.684/0001-04,7020-4/00 (Consultoria empresarial),"Condomínio de Nunes, 87",Pereira,PA,Brasil,otavioda-rosa@nascimento.br,+55 (051) 0648-9983,Ativa
2410,Fernandes Teixeira - EI Ltda,- EI Maiores,79.845.016/0001-55,7020-4/00 (Consultoria empresarial),"Núcleo Carlos Eduardo Porto, 72",Viana,ES,Brasil,fernandesandre@sales.br,+55 61 7267-8126,Inativa
2411,Porto - ME Ltda,- EI Placeat,58.941.372/0001-00,4930-2/01 (Transporte de cargas),"Setor Dias, 5",Silva,BA,Brasil,camposlorenzo@rezende.br,(011) 5008 9169,Ativa
2412,Correia Ltda. Ltda,S.A. Deserunt,80.325.769/0001-19,6619-3/02 (Serviços financeiros),"Passarela Davi Lucas Almeida, 54",Alves,GO,Brasil,rcastro@costela.com,0500-343-8792,Inativa
2413,Pires S/A Ltda,e Filhos Provident,97.035.461/0001-31,2063-1/00 (Fabricação de cosméticos),"Rua André Ferreira, 883",Nunes do Oeste,BA,Brasil,pintojulia@da.net,+55 21 8538-2816,Ativa
2414,Farias Ltda,- EI Voluptates,37.946.025/0001-92,4671-6/00 (Com. atac. insumos agrícolas),"Chácara de Melo, 69",Moraes das Pedras,TO,Brasil,gustavo-henrique05@cardoso.br,+55 (071) 3971-1750,Inativa
2415,da Conceição Martins e Filhos Ltda,- EI Aspernatur,31.760.452/0001-03,7020-4/00 (Consultoria empresarial),"Alameda Ana Clara Costa, 42",Martins,PB,Brasil,juliamartins@mendes.net,+55 (084) 2379 1071,Ativa
2416,da Cunha Santos S.A. Ltda,- ME Laboriosam,63.074.219/0001-55,8599-6/04 (Treinamento profissional),"Parque Rafael Ribeiro, 2",Carvalho de Silva,RS,Brasil,tjesus@rodrigues.br,+55 41 3054 7666,Ativa
2417,Barbosa Ltda,e Filhos Voluptatem,17.603.298/0001-27,6201-5/01 (Desenvolvimento de software),"Núcleo Teixeira, 98",Silva,MG,Brasil,xaraujo@oliveira.br,(011) 6154 3031,Ativa
2418,Oliveira - ME Ltda,- EI Asperiores,40.786.293/0001-07,2063-1/00 (Fabricação de cosméticos),"Chácara Aragão, 772",Fogaça Paulista,RS,Brasil,cauajesus@nunes.com,+55 (031) 3820 5883,Inativa
2419,da Paz Ltda,e Filhos Optio,19.084.527/0001-70,3511-5/00 (Geração de energia solar),"Largo Rafael da Rosa, 45",da Mota,RS,Brasil,marcos-vinicius37@barros.br,61 5085 0818,Ativa
2420,Silva Ltda,S.A. Occaecati,65.782.439/0001-69,4930-2/01 (Transporte de cargas),Via Arthur da Mata,Jesus,GO,Brasil,nalmeida@melo.br,0900-113-0327,Inativa
2421,Ribeiro Ltda,- EI Tempore,94.321.786/0001-92,8020-0/01 (Monitoramento de segurança),"Fazenda de Castro, 474",Moraes,PA,Brasil,qrezende@goncalves.br,0500-867-0725,Ativa
2422,Ribeiro - EI Ltda,- ME Aspernatur,96.024.783/0001-12,6201-5/01 (Desenvolvimento de software),Via de Dias,Peixoto das Flores,PI,Brasil,da-cruzmirella@da.com,71 7246-0491,Ativa
2423,Azevedo Ltda,Ltda. Laborum,43.608.197/0001-59,6201-5/01 (Desenvolvimento de software),"Alameda Benício Pereira, 632",da Conceição da Mata,RO,Brasil,maria-eduarda31@aragao.org,+55 (084) 4267 7373,Inativa
2424,da Cunha Nascimento S/A Ltda,- EI Nam,12.047.398/0001-09,1091-1/02 (Fabricação de alimentos),Recanto Cardoso,Vieira do Oeste,MT,Brasil,pintopaulo@da.com,51 6543 5049,Ativa
2425,Porto Ltda,S.A. Labore,73.062.984/0001-09,1091-1/02 (Fabricação de alimentos),"Praça Lucas Freitas, 56",Araújo da Mata,DF,Brasil,amandada-luz@lima.br,+55 (071) 5971-6606,Ativa
2426,Costela - EI Ltda,Ltda. Harum,95.164.832/0001-50,2063-1/00 (Fabricação de cosméticos),Trecho Oliveira,Pinto,DF,Brasil,natalia04@cavalcanti.org,(084) 2491-4819,Ativa
2427,Alves Gomes e Filhos Ltda,e Filhos Minima,32.408.156/0001-00,3511-5/00 (Geração de energia solar),"Área Silveira, 444",Porto,GO,Brasil,camila95@porto.br,+55 11 9250-8685,Inativa
2428,Pires Ltda,e Filhos Ad,95.183.720/0001-46,6201-5/01 (Desenvolvimento de software),"Aeroporto Laís Novaes, 521",Moreira,AC,Brasil,fernandapereira@costela.br,+55 31 0537 5488,Inativa
2429,Silva Ltda,- ME Et,86.107.542/0001-83,2063-1/00 (Fabricação de cosméticos),"Travessa Sofia Porto, 4",Lopes,SC,Brasil,pedro-miguelmelo@almeida.com,81 1950 8154,Inativa
2430,Silveira Moreira S/A Ltda,- EI Doloribus,30.619.857/0001-55,7020-4/00 (Consultoria empresarial),"Avenida de Nogueira, 1",Melo do Amparo,MS,Brasil,bsilveira@jesus.br,+55 (051) 2281-6987,Ativa
2431,Porto S/A Ltda,- EI Commodi,30.925.674/0001-68,4671-6/00 (Com. atac. insumos agrícolas),"Sítio de da Mota, 66",Ribeiro de Minas,PR,Brasil,aragaosarah@moura.org,+55 61 6255-7714,Ativa
2432,Lopes Ltda,S/A Explicabo,36.924.815/0001-04,6619-3/02 (Serviços financeiros),"Morro João Miguel da Mata, 3",Castro de da Conceição,GO,Brasil,cunhasamuel@barbosa.br,21 7443 6841,Ativa
2433,Pires Mendes S.A. Ltda,e Filhos Ipsum,28.059.743/0001-56,6619-3/02 (Serviços financeiros),"Aeroporto de das Neves, 39",Oliveira,DF,Brasil,zsales@fogaca.br,0500-909-3614,Inativa
2434,Souza Ltda,e Filhos Magni,93.107.256/0001-83,1091-1/02 (Fabricação de alimentos),"Condomínio Monteiro, 28",Nogueira,PI,Brasil,camposgiovanna@santos.com,+55 51 9999 8145,Inativa
2435,Freitas Moraes - EI Ltda,S.A. Velit,06.347.895/0001-11,8599-6/04 (Treinamento profissional),"Trevo Gabriela Costa, 86",Santos da Praia,TO,Brasil,vicentelopes@oliveira.br,(031) 7498-0133,Ativa
2436,Pires Ltda. Ltda,S/A Rem,24.867.590/0001-12,1091-1/02 (Fabricação de alimentos),"Esplanada Rebeca Nascimento, 956",da Costa do Amparo,MT,Brasil,martinsana-julia@gomes.br,+55 31 2361 7088,Inativa
2437,da Paz Ltda,S/A Omnis,37.048.951/0001-40,4671-6/00 (Com. atac. insumos agrícolas),"Esplanada Jesus, 94",Barbosa,GO,Brasil,juliaaragao@costela.com,+55 84 7490 5433,Ativa
2438,da Conceição Ltda. Ltda,S.A. Provident,15.870.236/0001-56,4671-6/00 (Com. atac. insumos agrícolas),"Feira Lara Ramos, 31",Rocha do Galho,AC,Brasil,da-motaisabel@pires.net,(031) 2181-4232,Inativa
2439,Dias Ltda,S/A Vitae,87.314.265/0001-42,6201-5/01 (Desenvolvimento de software),"Largo Cunha, 61",Freitas da Mata,MG,Brasil,brendafogaca@nunes.br,0800 674 9394,Inativa
2440,da Rocha Ltda,- ME Modi,12.685.039/0001-79,1091-1/02 (Fabricação de alimentos),"Sítio de Ramos, 71",da Rocha,PI,Brasil,da-costapietra@pires.br,(051) 3123-9874,Inativa
2441,Viana Correia - EI Ltda,- EI Repellat,90.156.874/0001-25,4930-2/01 (Transporte de cargas),"Fazenda Araújo, 4",Farias de Cavalcanti,PA,Brasil,aragaoluiz-miguel@rodrigues.br,+55 51 4612 6492,Ativa
2442,Gonçalves S.A. Ltda,- ME Aut,83.471.269/0001-83,6201-5/01 (Desenvolvimento de software),"Jardim Esther Moraes, 58",Aragão,SC,Brasil,sophie88@martins.net,+55 61 7528 6242,Ativa
2443,Jesus Ltda,- ME Amet,86.047.532/0001-08,7020-4/00 (Consultoria empresarial),"Área Barbosa, 54",Farias,PI,Brasil,rfernandes@pires.com,+55 11 7337-4281,Inativa
2444,da Cruz da Conceição e Filhos Ltda,- EI Officia,06.475.813/0001-14,8599-6/04 (Treinamento profissional),Conjunto de da Mota,Nunes da Praia,RR,Brasil,milena88@da.org,(021) 0590-4782,Inativa
2445,Moraes Ltda,S/A Hic,13.857.029/0001-36,8020-0/01 (Monitoramento de segurança),"Vila Mendes, 78",Silveira de Viana,MS,Brasil,lunarodrigues@da.net,31 2656 9436,Ativa
2446,Ribeiro Ltda,- EI Voluptate,32.596.148/0001-27,6201-5/01 (Desenvolvimento de software),Avenida de Pereira,Cavalcanti,AM,Brasil,aragaosophie@monteiro.com,31 5583-1211,Ativa
2447,Moreira Ltda. Ltda,Ltda. Vero,89.347.512/0001-32,6201-5/01 (Desenvolvimento de software),"Parque Fernandes, 56",da Rosa Grande,PB,Brasil,smartins@nascimento.com,(021) 1433-6999,Inativa
2448,Ribeiro Ltda,Ltda. Ducimus,52.340.869/0001-89,3511-5/00 (Geração de energia solar),"Viaduto Luigi Martins, 52",Correia do Sul,PI,Brasil,esilveira@da.br,+55 61 8984-7796,Inativa
2449,Souza Ltda,- ME Deleniti,06.418.937/0001-68,8020-0/01 (Monitoramento de segurança),"Trevo Oliveira, 8",Caldeira do Norte,TO,Brasil,ryanmonteiro@cunha.com,(071) 7366-7404,Inativa
2450,Moraes Ltda,S.A. Dignissimos,94.586.713/0001-22,3511-5/00 (Geração de energia solar),"Condomínio Ribeiro, 962",da Cruz da Praia,PR,Brasil,ialmeida@novaes.br,+55 51 4573 0026,Inativa
2451,Pereira - EI Ltda,- EI Et,24.015.968/0001-50,1091-1/02 (Fabricação de alimentos),"Residencial de Melo, 4",Alves,AL,Brasil,fogacalarissa@cavalcanti.br,(051) 2166-0788,Ativa
2452,Cardoso Ltda,e Filhos Eveniet,84.026.719/0001-91,4671-6/00 (Com. atac. insumos agrícolas),"Aeroporto de Fogaça, 87",Lima,PB,Brasil,freitasjoao-miguel@teixeira.br,+55 (041) 6834 8592,Inativa
2453,Peixoto Ltda,S/A Esse,86.425.097/0001-08,6619-3/02 (Serviços financeiros),"Trecho Leonardo da Rosa, 20",Monteiro,PR,Brasil,lara56@rocha.net,51 3724 7061,Ativa
2454,Lima Ltda,e Filhos Dolores,42.198.036/0001-71,4671-6/00 (Com. atac. insumos agrícolas),"Feira da Mata, 6",Souza,PB,Brasil,esther22@freitas.br,61 4668 5336,Ativa
2455,Barbosa Ltda,Ltda. Odio,94.813.602/0001-01,7020-4/00 (Consultoria empresarial),"Recanto Carolina Nogueira, 765",Azevedo das Pedras,SP,Brasil,rezendeandre@peixoto.br,51 1252 5959,Inativa
